"","time","ZT"
"1",0,0.889
"2",0.112,1.114
"3",0.145,1.483
"4",0.235,1.832
"5",0.433,2.074
"6",0.63,2.374
"7",1.025,2.853
"8",1.206,3.06
"9",1.397,2.779
"10",1.659,2.369
"11",2.024,2.1
"12",2.39,1.909
"13",2.784,1.766
"14",3.179,1.651
"15",3.574,1.56
"16",3.969,1.49
"17",4.364,1.431
"18",4.759,1.367
"19",5.154,1.32
"20",5.549,1.274
"21",5.953,1.23
"22",6.339,1.189
"23",6.734,1.159
"24",7.129,1.126
"25",7.524,1.098
"26",7.935,1.065
"27",8.314,1.037
"28",8.709,1.017
"29",9.104,0.994
"30",9.499,0.971
"31",9.894,0.948
"32",10.289,0.927
"33",10.684,0.907
"34",11.079,0.887
"35",11.474,0.869
"36",11.875,0.847
